"Gateway Name","Gateway SN","Gateway IP Address","Gateway MAC Address","Device Name","Device Local ID","Device Type ID","Device Type Name","Logging Interval","Historical Intervals"
"EcoStruxure Panel Server","542126410133","10.0.0.35","00:00:54:E5:14:B7","19 PD28 Salt Corridor","modbus:10_mb_81","PM5310","PM5310","10","72"

"","","","Topic ID1"
"","","","modbus:10_mb_WHr_I"

"Error","UTC Offset (minutes)","Local Time Stamp","TotalDeliveredActiveEnergy (Wh)"
"0","0","2025-03-25 13:50:00","167307048"
"0","0","2025-03-25 14:00:00","167307048"
"0","0","2025-03-25 14:10:00","167307048"
"0","0","2025-03-25 14:20:00","167307048"
"0","0","2025-03-25 14:30:00","167307048"
"0","0","2025-03-25 14:40:00","167307048"
"0","0","2025-03-25 14:50:00","167307048"
"0","0","2025-03-25 15:00:00","167307048"
"0","0","2025-03-25 15:10:00","167307048"
"0","0","2025-03-25 15:20:00","167307048"
"0","0","2025-03-25 15:30:00","167307048"
"0","0","2025-03-25 15:40:00","167307048"
"0","0","2025-03-25 15:50:00","167307048"
"0","0","2025-03-25 16:00:00","167307048"
"0","0","2025-03-25 16:10:00","167307048"
"0","0","2025-03-25 16:20:00","167307048"
"0","0","2025-03-25 16:30:00","167307048"
"0","0","2025-03-25 16:40:00","167307048"
"0","0","2025-03-25 16:50:00","167307048"
"0","0","2025-03-25 17:00:00","167307048"
"0","0","2025-03-25 17:10:00","167307048"
"0","0","2025-03-25 17:20:00","167307048"
"0","0","2025-03-25 17:30:00","167307048"
"0","0","2025-03-25 17:40:00","167307048"
"0","0","2025-03-25 17:50:00","167307048"
"0","0","2025-03-25 18:00:00","167307048"
"0","0","2025-03-25 18:10:00","167307048"
"0","0","2025-03-25 18:20:00","167307048"
"0","0","2025-03-25 18:30:00","167307048"
"0","0","2025-03-25 18:40:00","167307048"
"0","0","2025-03-25 18:50:00","167307048"
"0","0","2025-03-25 19:00:00","167307048"
"0","0","2025-03-25 19:10:00","167307048"
"0","0","2025-03-25 19:20:00","167307048"
"0","0","2025-03-25 19:30:00","167307048"
"0","0","2025-03-25 19:40:00","167307048"
"0","0","2025-03-25 19:50:00","167307048"
"0","0","2025-03-25 20:00:00","167307048"
"0","0","2025-03-25 20:10:00","167307048"
"0","0","2025-03-25 20:20:00","167307048"
"0","0","2025-03-25 20:30:00","167307048"
"0","0","2025-03-25 20:40:00","167307048"
"0","0","2025-03-25 20:50:00","167307048"
"0","0","2025-03-25 21:00:00","167307048"
"0","0","2025-03-25 21:10:00","167307048"
"0","0","2025-03-25 21:20:00","167307048"
"0","0","2025-03-25 21:30:00","167307048"
"0","0","2025-03-25 21:40:00","167307048"
"0","0","2025-03-25 21:50:00","167307048"
"0","0","2025-03-25 22:00:00","167307048"
"0","0","2025-03-25 22:10:00","167307048"
"0","0","2025-03-25 22:20:00","167307048"
"0","0","2025-03-25 22:30:00","167307048"
"0","0","2025-03-25 22:40:00","167307048"
"0","0","2025-03-25 22:50:00","167307048"
"0","0","2025-03-25 23:00:00","167307048"
"0","0","2025-03-25 23:10:00","167307048"
"0","0","2025-03-25 23:20:00","167307048"
"0","0","2025-03-25 23:30:00","167307048"
"0","0","2025-03-25 23:40:00","167307048"
"0","0","2025-03-25 23:50:00","167307048"
"0","0","2025-03-26 00:00:00","167307048"
"0","0","2025-03-26 00:10:00","167307048"
"0","0","2025-03-26 00:20:00","167307048"
"0","0","2025-03-26 00:30:00","167307048"
"0","0","2025-03-26 00:40:00","167307048"
"0","0","2025-03-26 00:50:00","167307048"
"0","0","2025-03-26 01:00:00","167307048"
"0","0","2025-03-26 01:10:00","167307048"
"0","0","2025-03-26 01:20:00","167307048"
"0","0","2025-03-26 01:30:00","167307048"
"0","0","2025-03-26 01:40:00","167307048"